Round,Date,Team 1,FT,Team 2
1,Fri Jul 17 2015,First Vienna FC,0-1,SC Wiener Neustadt
1,Fri Jul 17 2015,SC Weiz,1-5,SK Rapid Wien
1,Fri Jul 17 2015,SV Innsbruck,0-15,SV Ried
1,Fri Jul 17 2015,USV Allerheiligen,0-3,Kapfenberger SV
1,Fri Jul 17 2015,SV Wallern,2-1,SK Vorwärts Steyr
1,Fri Jul 17 2015,SV Lafnitz,1-2,SCR Altach
1,Fri Jul 17 2015,VST Völkermarkt,2-2,FC Lendorf
1,Fri Jul 17 2015,FC Blau-Weiß Linz,1-1,FC Wacker Innsbruck
1,Fri Jul 17 2015,SV Oberwart,0-3,FK Austria Wien
1,Fri Jul 17 2015,SKU Amstetten,2-2,ASK Kottingbrunn
1,Fri Jul 17 2015,SV Horn,2-0,SC Ritzing
1,Fri Jul 17 2015,1. SC Sollenau,0-3,SV Mattersburg
1,Fri Jul 17 2015,SC Krems,8-1,SC Trausdorf
1,Fri Jul 17 2015,SC-ESV Parndorf,2-7,LASK Linz
1,Sat Jul 18 2015,Union Gurten,1-0,SV Grödig
1,Sat Jul 18 2015,TSV Neumarkt,0-3,FC Hard
1,Sat Jul 18 2015,TSV Hartberg,0-6,SK Sturm Graz
1,Sat Jul 18 2015,Deutschlandsberger SC,0-7,FC RB Salzburg
1,Sat Jul 18 2015,SV Leobendorf,0-0,Wiener Sport-Club
1,Sat Jul 18 2015,SW Bregenz,0-1,FC Wels
1,Sat Jul 18 2015,SC Golling,0-6,Floridsdorfer AC
1,Sat Jul 18 2015,ATSV Stadl-Paura,1-5,WSG Tirol
1,Sat Jul 18 2015,USC Eugendorf,2-2,Austria Salzburg
1,Sat Jul 18 2015,FC Höchst,1-2,SV Seekirchen
1,Sat Jul 18 2015,FC Dornbirn 1913,0-2,SKN St. Pölten
1,Sat Jul 18 2015,TSV St. Johann,4-0,FC Kitzbühel
1,Sat Jul 18 2015,SV Schwechat,1-1,FC Admira Wacker Mödling
1,Sat Jul 18 2015,ASK Ebreichsdorf,4-0,SC Red Star Penzing
1,Sun Jul 19 2015,ASV Annabichler SV 1923,1-4,FC Stadlau
1,Sun Jul 19 2015,SVG Reichenau,1-4,Austria Klagenfurt
1,Sun Jul 19 2015,FC Lankowitz,3-1,Austria Lustenau
1,Sun Jul 19 2015,ASKÖ Köttmannsdorf,0-6,Wolfsberger AC
